center_name,load
Agra_Jaupura_H,32500.0
Ahmedabad_Kanera_GW,56100.0
Ahmedabad_Odhavestate_C,10100.0
Ahmedabad_SaraswatiNagar_C,2900.0
Ahmedabad_Thaltej_C,5000.0
Allahabad_Rasulabad_H,2800.0
Aluva_Peedika_H,3500.0
Anantapur_AyyavaripalliRD_H,400.0
Aurangabad_Gngapr_H,1800.0
Bahraich_Dularpur_H,900.0
Bangalore_HuskurRoad_C,50200.0
Bangalore_Soukyaroad_GW,155600.0
Bhawanipatna_Dangaripadar_H,300.0
Bhiwandi_Mega_GW,320300.0
Bhopal_Pipaliya_H,4000.0
Bhubaneswar_Bampakhuda_GW,6800.0
Chandigarh_Rajpura_GW,41800.0
Chandigarh_Rajpura_I,54700.0
Chennai_ExpressEstate_C,3000.0
Chennai_Guindy_C,7500.0
Chennai_Mogappair_C,3600.0
Chennai_Sriperumbudur_GW,69000.0
Coimbatore_Kaniyur_H,63100.0
Coimbatore_Vellakinar_C,17900.0
Dehradun_Badowala_H,4200.0
Delhi_Airport_GW,22700.0
Dhanbad_Tilabani_H,3000.0
Dibrugarh_Mohanbari_H,600.0
Faridabad_MathuraRoad_GW,96000.0
Goa_Hub,1100.0
Gorakhpur_Bhauwapar_H,2800.0
Gurgaon_PalamVihar_C,29300.0
Gurgaon_Tauru_GW,348400.0
Guwahati_Kaikchi_GW,18200.0
Gwalior_PuraniChhawani_P,11800.0
Hisar_Dabra_H,26400.0
Howrah_Shibpur_C,11800.0
Hubli_Budarshingi_H,1500.0
Hyderabad_Medchal_GW,44300.0
Hyderabad_Shamshbd_P,46900.0
Indore_BarodaArjun_H,33200.0
Jabalpur_Timri_P,2700.0
Jaipur_Sez_GW,140500.0
Jalandhar_QajiMandi_P,5900.0
Jammu_Baribrahmana_H,1700.0
Jamshedpur_Asanbani_H,600.0
Jodhpur_BasniPhase2_P,4700.0
Kannur_Koodali_H,1100.0
Kanpur_Kataraghan_H,30900.0
Karnal_Kutail_H,3300.0
Khammam_Mudigonda_H,400.0
Kolhapur_HupariRd_H,1600.0
Kolkata_Dankuni_GW,109100.0
Kolkata_Paharpur_C,6600.0
Kollam_Kilikollur_H,500.0
Kottayam_Ettumanoor_H,600.0
Kozhikode_Central_H,1700.0
Lucknow_Memaura_H,24500.0
Ludhiana_Khakat_H,34000.0
Madurai_Avaniyapuram_H,12700.0
Mangalore_Katipalla_H,3500.0
Meerut_Panchlikhurd_H,10800.0
Moradabad_Menather_P,7200.0
Motihari_Chhatauni_H,500.0
Mumbai_Chndivli_PC,60400.0
Mumbai_GavraiPada_C,13900.0
Mumbai_Kandivali_C,19500.0
Mumbai_MahimJunction_C,5200.0
Mumbai_Turbhe_C,7000.0
Muzaffarpur_Gobarsahi_H,1100.0
Mysore_Hebbalestate_H,3500.0
Nagpur_Khapari_GW,41400.0
Nanded_Wajegaon_H,400.0
Noida_Bairangpur_GW,113800.0
Panipat_Risalu_P,30900.0
Patna_Sonagopalpur_H,9100.0
Pune_Dhanori_C,3200.0
Pune_Kondhwa_C,3000.0
Pune_Sudhwadi_GW,17400.0
Purnia_Kasba_H,200.0
Raipur_Guma_H,3700.0
Rajahmundry_Rajanagaram_H,800.0
Rajkot_Amargadh_H,67500.0
Ranchi_Sidroll_H,1700.0
Rudrapur_Daanpur_H,5200.0
Sagar_Pagara_P,34300.0
Salem_Ramalingapuram_H,4800.0
Sambalpur_Tentelpara_H,800.0
Silchar_Ambikapur_H,300.0
Siliguri_Fulbari_H,9100.0
Srinagar_Ladhoo_H,1000.0
Surat_Kacholi_GW,308300.0
Surat_Kacholi_I,100.0
Tiruchi_Navalur_H,1100.0
Tirunelveli_Krishnapuram_H,1400.0
Tirupati_RAgraharam_H,500.0
Udaipur_Balicha_H,3100.0
Vadodara_Dashrath_H,700.0
Vadodara_Tandalja_C,3200.0
Vapi_Valwada_H,1000.0
Varanasi_Birbhanpur_H,5400.0
Vijayawada_Gudavalli_H,5200.0
Visakhapatnam_Duvvada_H,1100.0
